ID_Transacao;Data_Transacao;Descricao;Valor;ID_Categoria;Forma_Pagamento;Detalhe_Pagamento;Nome_Categoria;Nome_Subcategoria;Tipo
269;15/05/2024;Internet residencial;1300;12;Cartão de crédito;Banco do Brasil;Internet;Plano de celular;Despesa
270;15/05/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
271;18/05/2024;Cosméticos;1200;13;Cartão de crédito;Itaú;Beleza;Cabeleireiro;Despesa
272;20/05/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
273;20/05/2024;Doação para ONG;500;14;Pix;;Doações;ONG;Despesa
274;25/05/2024;Compra de ações;1250;15;Transferência;;Investimentos;Ações;Renda
275;31/05/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
276;01/06/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
277;03/06/2024;Supermercado mensal;580;3;Cartão de crédito;Bradesco;Alimentação;Supermercado;Despesa
278;05/06/2024;Conta de luz;168;1;Débito automático;;Moradia;Contas;Despesa
279;05/06/2024;Farmácia;1200;7;Cartão de crédito;Itaú;Saúde;Plano de saúde;Despesa
280;08/06/2024;Conta de água;60;1;Débito automático;;Moradia;Contas;Despesa
281;10/06/2024;Salário mensal;6000;5;Transferência;;Salário;Salário Mensal;Renda
282;10/06/2024;Venda de móveis usados;4020;10;Dinheiro;;Renda Extra;Freelance;Renda
283;12/06/2024;Consulta veterinária;2500;11;Pix;;Pets;Ração;Despesa
284;12/06/2024;Gasto com gasolina;232;6;Cartão de crédito;Bradesco;Transporte;Combustível;Despesa
285;15/06/2024;Ração para cachorro;200;11;Cartão de crédito;Nubank;Pets;Ração;Despesa
286;15/06/2024;Plano de celular;850;12;Débito automático;;Internet;Plano de celular;Despesa
287;15/06/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
288;20/06/2024;Curso de Inglês;350;9;Débito automático;;Educação;Cursos Online;Despesa
289;20/06/2024;Ajuda para mãe;1700;14;Transferência;;Doações;Ajuda para mãe;Despesa
290;25/06/2024;Dividendos recebidos;1020;15;Transferência;;Investimentos;Ações;Renda
291;30/06/2024;Assinatura de Streaming (Combo);85;8;Débito automático;;Lazer;Streaming;Despesa
292;01/07/2024;Aluguel apartamento;1800;1;Pix;;Moradia;Aluguel;Despesa
293;03/07/2024;Supermercado mensal;390;3;Cartão de crédito;Nubank;Alimentação;Supermercado;Despesa
294;05/07/2024;Plano de saúde;250;7;Débito automático;;Saúde;Plano de saúde;Despesa
295;05/07/2024;Conta de luz;179;1;Débito automático;;Moradia;Contas;Despesa
